Cut	Group	genes
0	100	2608
0	99	2896
0	98	3049
0	95	3232
0	92	3290
0	90	3364
50	100	2125
50	99	2789
50	98	3022
50	95	3221
50	92	3290
50	90	3354
100	100	1729
100	99	2633
100	98	2954
100	95	3206
100	92	3276
100	90	3344
200	100	1196
200	99	2235
200	98	2768
200	95	3176
200	92	3275
200	90	3333
300	100	809
300	99	1782
300	98	2474
300	95	3151
300	92	3259
300	90	3328
400	100	564
400	99	1424
400	98	2151
400	95	3087
400	92	3260
400	90	3306
