39	97.97	0.08
409	95.08	1.4
232	97.45	0.75
37	97.97	0.08
286	71.55	0
210	96.74	1.3
822	53.92	0
96	98.16	0.92
473	96.17	0.84
230	93.02	0.54
267	76.72	0
351	90.16	3.29
366	85.89	0.48
377	76.66	0.26
303	77.59	1.72
91	97.49	0.08
116	94.63	0.64
89	95.86	2.33
149	96.11	0.08
400	73.47	0.32
63	78.45	0
44	69.97	0.91
49	97.04	0.22
79	83.69	2.39
63	97.84	0.1
41	98.76	0.08
480	57.21	0.86
96	97.96	0.3
383	87.68	1.1
38	99.49	0.78
41	99.23	0.09
23	96.4	0.08
16	58.92	0.22
34	71.12	0.5
71	96.54	1.06
32	73.78	0.16
107	78.45	0
146	74.14	0
51	96.41	4.89
38	65.52	0
81	99.51	1.52
282	93.08	0.46
435	84.6	4.66
81	95.74	0.31
39	99.13	0.27
420	68.95	3.47
43	87.83	0.22
173	73.28	1.72
60	98.95	0.22
170	98.55	0.54
63	96.56	0.83
59	98.24	0.27
34	67.24	0
226	82.83	0.67
40	51.54	0.03
352	83.15	1.24
66	98.24	0.22
