1112	59.81	1.62
69	98.86	0.35
52	99.03	0.11
24	85.39	0.11
46	99.03	0.11
54	97.73	0.11
968	63.71	1.72
168	97.11	0.26
522	94.61	0.12
120	97.56	0.6
256	98.38	0.68
191	99.68	0.65
96	96.43	0.43
71	97.79	0.16
148	98.92	0.57
133	99.03	0.43
15	56.87	0
45	99.68	0.16
69	98.7	1
80	99.35	0.11
40	99.68	0.16
509	95.15	1.07
105	98.18	0.11
34	63.74	0
23	70.78	0.23
604	91.82	0.94
939	81.14	1.18
583	76.18	1.72
734	77.59	1.72
788	66.38	0
47	98.05	0.16
56	99.35	0.16
21	55.9	0.11
983	64.48	0
28	76.3	0.16
47	74.08	0.11
42	58.12	0.05
310	98.93	0.45
261	97.21	0.41
42	72.08	0.11
979	61.13	1.36
86	99.03	0.11
89	99.68	0.11
1197	68.56	0.62
73	99.03	0.54
74	99.03	0.54
75	99.03	0.32
83	99.68	0.43
117	100	0.48
303	99.3	0.91
81	99.03	0.11
89	100	0.43
80	100	0.48
104	98.97	0.78
296	93.75	0.51
57	99.03	0.11
176	97.56	0.32
62	99.03	0.15
62	99.03	0.11
64	99.03	0.49
1175	86.97	2.49
208	90.55	0.25
1263	80.45	2.87
