X	586	4696	979	9975	1.8416728951596143e-09	X	X
G	430	4696	842	9975	0.04238003726600322	G	G
K	422	4696	816	9975	0.02455761849228846	K	K
N	299	4696	419	9975	3.097593074508983e-12	N	N
U	254	4696	410	9975	1.0257936682688742e-05	U	U
V	230	4696	425	9975	0.018332430241063992	V	V
W	116	4696	173	9975	0.00015894375421653958	W	W
Q	77	4696	128	9975	0.020590023316036127	Q	Q
