198	95.85	1.26
1089	69.58	2.57
1013	66.38	0
821	87.6	3.82
902	63.93	2.06
906	80.17	3.23
56	72.92	0.43
145	65.62	0.29
973	86.84	1.57
351	76.88	1.72
311	97.4	0.46
193	95.51	0.44
1099	66.54	1.72
87	65	0
976	52.59	0
132	64.29	0
932	83.01	2.23
20	54.27	0.04
188	61.13	0
174	98.45	1.1
45	95.13	0.41
838	62.18	2.34
842	63.31	1.28
53	52.93	0
463	56.03	0
511	54.06	0.3
34	63.22	0.49
551	58.97	1.72
568	91.32	2.31
201	95.14	0.78
99	51.02	0
381	95.02	2.09
227	65.86	1.72
142	60.34	0
165	78.45	3.45
394	72.53	3.33
415	95.18	1.59
119	53.79	0
82	58.62	0
33	77.16	0.04
256	96.65	0.76
716	66.7	2.81
351	87.72	1.12
90	59.45	0.49
91	96.23	0.41
155	97.13	1.08
437	93.32	1.05
286	72.05	0
266	94.73	4
160	51.88	0
91	74.14	0
601	66.43	1.03
372	95.89	1.76
199	97.32	1.5
301	98.28	1.32
236	99.14	1.04
607	62.23	1.72
602	62.93	0
669	81.58	1.58
667	83.11	1.8
653	68.11	2.21
653	84.04	2.84
272	62.38	0
271	60.69	0
542	63.09	0
132	96.16	0.85
612	73	2.06
123	84.9	0.43
65	98.55	0.04
143	95.77	0.32
89	94.54	0.47
337	72.92	0
642	62.54	0
187	51.88	0
469	56.19	0
68	85.15	0.48
187	63.88	0.66
79	51.88	0
517	90.21	1.13
86	96.92	1.02
102	97.27	0.44
507	53.56	0.3
193	94.9	1.26
341	69.83	3.45
228	97.82	0.44
171	84.93	0.31
237	97.23	0.34
211	58.78	1.72
104	93.58	0.7
896	61.55	1.72
560	88.64	1.07
1061	63.59	0
1080	58.78	1.72
144	99.57	1.44
796	92.22	2.31
402	61.36	0
231	95.5	0.62
255	97.94	0.36
468	95.22	2.06
443	73.78	1.72
343	95.77	1.02
238	99.18	0.68
370	56.19	0
42	98.51	0.14
102	99.76	1.25
217	74.29	0
552	69.43	1.55
255	86.26	1.91
146	99.43	0.92
113	79.81	0
1448	58.86	1.29
99	98.48	1.54
327	98.92	1.17
95	99.11	1.54
66	99.4	1.58
1507	69.5	1.98
985	59.12	0
54	99.4	0.91
274	98.51	1.06
292	62.57	0
347	99.24	1.27
578	50.86	0
1609	77.52	2.76
308	98.82	1.51
385	98.07	1.58
545	88.06	0.97
1254	54.66	0
265	96.81	0.3
201	97.05	0.58
851	74.18	3.11
273	95.9	2.09
66	99.4	0.04
146	99.15	0.89
534	74.09	0
246	69.41	1.72
748	56.95	0
57	52.74	0
377	60.69	0
45	98.81	0.58
600	57.18	0
208	58.97	1.72
50	96.15	0.04
217	61.21	0
485	60.34	0
677	93.66	1.83
556	91.78	1.59
20	98.81	0.47
11	55.17	0
17	56.9	0
167	97.54	0.83
40	58.62	0
324	95.96	0.48
357	97.05	0.31
792	63.28	0
85	99.69	0.68
