Species	xvalues	yvalues
K. pneumoniae	4	49.2042701142401
K. pneumoniae	4.1	44.7012480410349
K. pneumoniae	4.2	40.6103285708089
K. pneumoniae	4.3	36.893797352484
K. pneumoniae	4.4	33.5173915353287
K. pneumoniae	4.5	30.4499838983609
K. pneumoniae	4.6	27.663295887245
K. pneumoniae	4.7	25.131636913163
K. pneumoniae	4.8	22.8316675102432
K. pneumoniae	4.9	20.742184168086
K. pneumoniae	5	18.8439238557488
P. aeruginosa	0	3035.72132269185
P. aeruginosa	0.1	2770.71111236699
P. aeruginosa	0.2	2528.83557222791
P. aeruginosa	0.3	2308.07510852406
P. aeruginosa	0.4	2106.58643254336
P. aeruginosa	0.5	1922.68716966214
P. aeruginosa	0.6	1754.84181198311
P. aeruginosa	0.7	1601.6488972698
P. aeruginosa	0.8	1461.82930712518
P. aeruginosa	0.9	1334.2155867074
P. aeruginosa	1	1217.74219680529
P. aeruginosa	1.1	1111.43661688115
P. aeruginosa	1.2	1014.41122479369
P. aeruginosa	1.3	925.855885399064
P. aeruginosa	1.4	845.031186146844
P. aeruginosa	1.5	771.262263190085
P. aeruginosa	1.6	703.933166459165
P. aeruginosa	1.7	642.481716649347
P. aeruginosa	1.8	586.394811179333
P. aeruginosa	1.9	535.204139926859
P. aeruginosa	2	488.482274968916
P. aeruginosa	2.1	445.839101677011
P. aeruginosa	2.2	406.918561368092
P. aeruginosa	2.3	371.395678313192
P. aeruginosa	2.4	338.973846280122
P. aeruginosa	2.5	309.382351953604
P. aeruginosa	2.6	282.374114554091
P. aeruginosa	2.7	257.723622781703
P. aeruginosa	2.8	235.225051859356
P. aeruginosa	2.9	214.690544952889
P. aeruginosa	3	195.948644618548
P. aeruginosa	3.1	178.842861180828
P. aeruginosa	3.2	163.230366087041
P. aeruginosa	3.3	148.980799328464
P. aeruginosa	3.4	135.975180970389
P. aeruginosa	3.5	124.104917702622
P. aeruginosa	3.6	113.270896115437
P. aeruginosa	3.7	103.382655130056
P. aeruginosa	3.8	94.357630673705
P. aeruginosa	3.9	86.1204662924827
P. aeruginosa	4	78.6023839458433
P. aeruginosa	4.1	71.7406097290147
P. aeruginosa	4.2	65.4778497282839
P. aeruginosa	4.3	59.7618116326903
P. aeruginosa	4.4	54.5447681077165
P. aeruginosa	4.5	49.7831582852677
P. aeruginosa	4.6	45.4372240424906
P. aeruginosa	4.7	41.4706780324633
P. aeruginosa	4.8	37.8504006949003
P. aeruginosa	4.9	34.546163717001
P. aeruginosa	5	31.5303776354111
S. pyogenes	0	398.283162276331
S. pyogenes	0.1	362.842216873539
S. pyogenes	0.2	330.554958922319
S. pyogenes	0.3	301.140759776085
S. pyogenes	0.4	274.343962329812
S. pyogenes	0.5	249.931658945089
S. pyogenes	0.6	227.69166710492
S. pyogenes	0.7	207.430685203462
S. pyogenes	0.8	188.972612441503
S. pyogenes	0.9	172.157018224854
S. pyogenes	1	156.837747762245
S. pyogenes	1.1	142.881651743096
S. pyogenes	1.2	130.167429054027
S. pyogenes	1.3	118.584572475408
S. pyogenes	1.4	108.032408194362
S. pyogenes	1.5	98.419220786022
S. pyogenes	1.6	89.6614560577136
S. pyogenes	1.7	81.6829948274806
S. pyogenes	1.8	74.4144913249177
S. pyogenes	1.9	67.7927704639359
S. pyogenes	2	61.7602787487842
S. pyogenes	2.1	56.2645840408109
S. pyogenes	2.2	51.2579198381256
S. pyogenes	2.3	46.696770107213
S. pyogenes	2.4	42.5414910580116
S. pyogenes	2.5	38.7559665750702
S. pyogenes	2.6	35.307294309918
S. pyogenes	2.7	32.1654997062838
S. pyogenes	2.8	29.3032754725789
S. pyogenes	2.9	26.6957442372361
S. pyogenes	3	24.3202423239958
S. pyogenes	3.1	22.1561227677958
S. pyogenes	3.2	20.1845758591514
S. pyogenes	3.3	18.3884656572684
S. pyogenes	3.4	16.7521810509204
S. pyogenes	3.5	15.261500072568
S. pyogenes	3.6	13.9034662863912
S. pyogenes	3.7	12.6662761758445
S. pyogenes	3.8	11.5391765519509
S. pyogenes	3.9	10.5123710906466
S. pyogenes	4	9.57693518683353
S. pyogenes	4.1	8.72473838508382
S. pyogenes	4.2	7.94837371279353
S. pyogenes	4.3	7.24109330157529
S. pyogenes	4.4	6.59674973733592
S. pyogenes	4.5	6.00974262927595
S. pyogenes	4.6	5.47496993340881
S. pyogenes	4.7	4.98778360752229
S. pyogenes	4.8	4.54394921215185
S. pyogenes	4.9	4.13960910643279
S. pyogenes	5	3.77124891894337
L. monocytogenes	0	1049.27229183143
L. monocytogenes	0.1	951.942376326091
L. monocytogenes	0.2	863.640729770595
L. monocytogenes	0.3	783.529894947323
L. monocytogenes	0.4	710.850096705415
L. monocytogenes	0.5	644.912036215376
L. monocytogenes	0.6	585.090353624614
L. monocytogenes	0.7	530.817697113426
L. monocytogenes	0.8	481.579342102055
L. monocytogenes	0.9	436.908309577124
L. monocytogenes	1	396.380937239386
L. monocytogenes	1.1	359.612861469369
L. monocytogenes	1.2	326.25537200364
L. monocytogenes	1.3	295.99210474929
L. monocytogenes	1.4	268.536041371106
L. monocytogenes	1.5	243.626787195367
L. monocytogenes	1.6	221.028101613786
L. monocytogenes	1.7	200.5256575658
L. monocytogenes	1.8	181.925008850044
L. monocytogenes	1.9	165.049745986886
L. monocytogenes	2	149.739823142128
L. monocytogenes	2.1	135.850040244335
L. monocytogenes	2.2	123.248665900122
L. monocytogenes	2.3	111.81618804705
L. monocytogenes	2.4	101.44418049527
L. monocytogenes	2.5	92.0342746081338
L. monocytogenes	2.6	83.4972263691395
L. monocytogenes	2.7	75.7520699872302
L. monocytogenes	2.8	68.7253500131966
L. monocytogenes	2.9	62.3504246845345
L. monocytogenes	3	56.5668338916473
L. monocytogenes	3.1	51.3197257711526
L. monocytogenes	3.2	46.5593364880759
L. monocytogenes	3.3	42.2405182731589
L. monocytogenes	3.4	38.3223112391654
L. monocytogenes	3.5	34.7675549152687
L. monocytogenes	3.6	31.5425358152941
L. monocytogenes	3.7	28.6166676973356
L. monocytogenes	3.8	25.9622014823127
L. monocytogenes	3.9	23.5539620803214
L. monocytogenes	4	21.3691096288264
L. monocytogenes	4.1	19.3869228782663
L. monocytogenes	4.2	17.5886026706901
L. monocytogenes	4.3	15.9570936476058
L. monocytogenes	4.4	14.4769224961105
L. monocytogenes	4.5	13.1340511992191
L. monocytogenes	4.6	11.9157438986121
L. monocytogenes	4.7	10.81044610712
L. monocytogenes	4.8	9.80767512539076
L. monocytogenes	4.9	8.89792062344735
L. monocytogenes	5	8.0725544442435
M. tuberculosis	0	2221.52850723267
M. tuberculosis	0.1	2013.06487776899
M. tuberculosis	0.2	1824.16304310906
M. tuberculosis	0.3	1652.98736498386
M. tuberculosis	0.4	1497.87445761389
M. tuberculosis	0.5	1357.31702389268
M. tuberculosis	0.6	1229.94920834933
M. tuberculosis	0.7	1114.53332455864
M. tuberculosis	0.8	1009.94782802358
M. tuberculosis	0.9	915.176417657561
M. tuberculosis	1	829.298159960965
M. tuberculosis	1.1	751.478539924504
M. tuberculosis	1.2	680.961351697254
M. tuberculosis	1.3	617.061350217582
M. tuberculosis	1.4	559.157592399793
M. tuberculosis	1.5	506.68740317002
M. tuberculosis	1.6	459.140907716795
M. tuberculosis	1.7	416.056076823889
M. tuberculosis	1.8	377.014237138847
M. tuberculosis	1.9	341.636002748623
M. tuberculosis	2	309.577588527705
M. tuberculosis	2.1	280.527469434032
M. tuberculosis	2.2	254.203353289636
M. tuberculosis	2.3	230.349437629285
M. tuberculosis	2.4	208.733923960754
M. tuberculosis	2.5	189.14676528177
M. tuberculosis	2.6	171.397624965281
M. tuberculosis	2.7	155.314027178717
M. tuberculosis	2.8	140.739680864058
M. tuberculosis	2.9	127.532960992149
M. tuberculosis	3	115.565532332955
M. tuberculosis	3.1	104.721102368363
M. tuberculosis	3.2	94.8942912290631
M. tuberculosis	3.3	85.9896076742093
M. tuberculosis	3.4	77.9205211630246
M. tuberculosis	3.5	70.6086210012843
M. tuberculosis	3.6	63.982854391749
M. tuberculosis	3.7	57.9788359843664
M. tuberculosis	3.8	52.53822221685
M. tuberculosis	3.9	47.6081443658405
M. tuberculosis	4	43.1406947993721
M. tuberculosis	4.1	39.0924614383406
M. tuberculosis	4.2	35.4241059031434
M. tuberculosis	4.3	32.0999812461639
M. tuberculosis	4.4	29.0877855554468
M. tuberculosis	4.5	26.3582480634868
M. tuberculosis	4.6	23.8848447109171
M. tuberculosis	4.7	21.6435404011126
M. tuberculosis	4.8	19.6125554410861
M. tuberculosis	4.9	17.7721538990868
M. tuberculosis	5	16.1044518222831
C. jejuni	0	414.64490054283
C. jejuni	0.1	375.035611127971
C. jejuni	0.2	339.210031113363
C. jejuni	0.3	306.806718598961
C. jejuni	0.4	277.498758714491
C. jejuni	0.5	250.990465397012
C. jejuni	0.6	227.014398233843
C. jejuni	0.7	205.328664273983
C. jejuni	0.8	185.714477586175
C. jejuni	0.9	167.97395194216
C. jejuni	1	151.928104355648
C. jejuni	1.1	137.415049334845
C. jejuni	1.2	124.288365630462
C. jejuni	1.3	112.41561900145
C. jejuni	1.4	101.677026094725
C. jejuni	1.5	91.9642459588651
C. jejuni	1.6	83.1792869994393
C. jejuni	1.7	75.2335183483135
C. jejuni	1.8	68.0467756727006
C. jejuni	1.9	61.5465524025254
C. jejuni	2	55.6672682164497
C. jejuni	2.1	50.3496074063605
C. jejuni	2.2	45.5399204451264
C. jejuni	2.3	41.1896827200773
C. jejuni	2.4	37.2550049714063
C. jejuni	2.5	33.6961904963396
C. jejuni	2.6	30.4773346517351
C. jejuni	2.7	27.5659626145204
C. jejuni	2.8	24.9327017453566
C. jejuni	2.9	22.5509852500294
C. jejuni	3	20.3967841488238
C. jejuni	3.1	18.4483648497428
C. jejuni	3.2	16.686069879739
C. jejuni	3.3	15.0921195617732
C. jejuni	3.4	13.6504326368325
C. jejuni	3.5	12.3464640211749
C. jejuni	3.6	11.1670580619441
C. jejuni	3.7	10.1003158106611
C. jejuni	3.8	9.13547497552192
C. jejuni	3.9	8.26280134134981
C. jejuni	4	7.47349056174406
C. jejuni	4.1	6.75957933261329
C. jejuni	4.2	6.11386505092873
C. jejuni	4.3	5.52983314814012
C. jejuni	4.4	5.00159136512574
C. jejuni	4.5	4.52381030558113
C. jejuni	4.6	4.09166966809323
C. jejuni	4.7	3.70080961443929
C. jejuni	4.8	3.34728678346822
C. jejuni	4.9	3.02753450679159
C. jejuni	5	2.73832682490285
H. pylori	0	309.656054369287
H. pylori	0.1	287.678239354894
H. pylori	0.2	267.260298097179
H. pylori	0.3	248.29151867436
H. pylori	0.4	230.669046934925
H. pylori	0.5	214.297328792976
H. pylori	0.6	199.087592106627
H. pylori	0.7	184.957365330043
H. pylori	0.8	171.830030329108
H. pylori	0.9	159.634406935978
H. pylori	1	148.304366989828
H. pylori	1.1	137.778475771043
H. pylori	1.2	127.999658884583
H. pylori	1.3	118.914892786272
H. pylori	1.4	110.47491727397
H. pylori	1.5	102.633968384651
H. pylori	1.6	95.3495302491033
H. pylori	1.7	88.5821045587115
H. pylori	1.8	82.2949963943247
H. pylori	1.9	76.4541152558999
H. pylori	2	71.0277902140541
H. pylori	2.1	65.986598181219
H. pylori	2.2	61.3032043712391
H. pylori	2.3	56.9522140823367
H. pylori	2.4	52.9100349997699
H. pylori	2.5	49.1547492715496
H. pylori	2.6	45.6659946635721
H. pylori	2.7	42.4248541497576
H. pylori	2.8	39.4137533385201
H. pylori	2.9	36.6163651793858
H. pylori	3	34.0175214330521
H. pylori	3.1	31.6031304248525
H. pylori	3.2	29.3601006356632
H. pylori	3.3	27.2762697159388
H. pylori	3.4	25.3403385379723
H. pylori	3.5	23.5418099287901
H. pylori	3.6	21.8709317514756
H. pylori	3.7	20.3186440262917
H. pylori	3.8	18.8765298048769
H. pylori	3.9	17.5367695311427
H. pylori	4	16.2920986414017
H. pylori	4.1	15.1357681738244
H. pylori	4.2	14.0615081736362
H. pylori	4.3	13.0634936956276
H. pylori	4.4	12.1363132196347
H. pylori	4.5	11.2749393077274
H. pylori	4.6	10.4747013440019
H. pylori	4.7	9.73126020916483
H. pylori	4.8	9.04058475258587
H. pylori	4.9	8.39892993424565
H. pylori	5	7.80281651805661
A. baumannii	0	1239.1204569069
A. baumannii	0.1	1134.118574647
A. baumannii	0.2	1038.01445145214
A. baumannii	0.3	950.054099730137
A. baumannii	0.4	869.547424076167
A. baumannii	0.5	795.862807109902
A. baumannii	0.6	728.422154103663
A. baumannii	0.7	666.696357524029
A. baumannii	0.8	610.201145903853
A. baumannii	0.9	558.493284476892
A. baumannii	1	511.167097767026
A. baumannii	1.1	467.851286849942
A. baumannii	1.2	428.206016317012
A. baumannii	1.3	391.920248087072
A. baumannii	1.4	358.709301148437
A. baumannii	1.5	328.312618086049
A. baumannii	1.6	300.491720870967
A. baumannii	1.7	275.028339874313
A. baumannii	1.8	251.722701426776
A. baumannii	1.9	230.391960488693
A. baumannii	2	210.868766134167
A. baumannii	2.1	192.999948594684
A. baumannii	2.2	176.6453175614
A. baumannii	2.3	161.676562318148
A. baumannii	2.4	147.976245076116
A. baumannii	2.5	135.436879612382
A. baumannii	2.6	123.96008798374
A. baumannii	2.7	113.455828699791
A. baumannii	2.8	103.841690299903
A. baumannii	2.9	95.0422447917901
A. baumannii	3	86.9884558790836
A. baumannii	3.1	79.617137335133
A. baumannii	3.2	72.8704572736946
A. baumannii	3.3	66.695484427247
A. baumannii	3.4	61.0437728732482
A. baumannii	3.5	55.8709819502921
A. baumannii	3.6	51.1365283822073
A. baumannii	3.7	46.8032678808256
A. baumannii	3.8	42.8372037294285
A. baumannii	3.9	39.2072200605535
A. baumannii	4	35.8848377355834
A. baumannii	4.1	32.8439909108662
A. baumannii	4.2	30.0608225374082
A. baumannii	4.3	27.5134971897273
A. baumannii	4.4	25.1820297554107
A. baumannii	4.5	23.0481286413549
A. baumannii	4.6	21.0950522665594
A. baumannii	4.7	19.307477715584
A. baumannii	4.8	17.6713805221859
A. baumannii	4.9	16.1739246399771
A. baumannii	5	14.8033617368622
E. faecium	0	849.985707198876
E. faecium	0.1	765.70884016086
E. faecium	0.2	689.788102240768
E. faecium	0.3	621.394975527463
E. faecium	0.4	559.783090425063
E. faecium	0.5	504.280080571694
E. faecium	0.6	454.280245350562
E. faecium	0.7	409.237939919833
E. faecium	0.8	368.66162062713
E. faecium	0.9	332.108480826695
E. faecium	1	299.179618560214
E. faecium	1.1	269.515683366556
E. faecium	1.2	242.792954714333
E. faecium	1.3	218.719809261501
E. faecium	1.4	197.03353838942
E. faecium	1.5	177.497481281357
E. faecium	1.6	159.898442258891
E. faecium	1.7	144.044364191805
E. faecium	1.8	129.762232591528
E. faecium	1.9	116.896187515651
E. faecium	2	105.305822678843
E. faecium	2.1	94.8646532084985
E. faecium	2.2	85.4587353238234
E. faecium	2.3	76.9854228750087
E. faecium	2.4	69.3522471726971
E. faecium	2.5	62.4759078833902
E. faecium	2.6	56.2813639785056
E. faecium	2.7	50.7010148166756
E. faecium	2.8	45.6739624224902
E. faecium	2.9	41.1453469109839
E. faecium	3	37.0657478053972
E. faecium	3.1	33.3906447148352
E. faecium	3.2	30.0799314862334
E. faecium	3.3	27.0974785286041
E. faecium	3.4	24.4107385332381
E. faecium	3.5	21.9903912871118
E. faecium	3.6	19.8100237033729
E. faecium	3.7	17.845841577098
E. faecium	3.8	16.0764099207341
E. faecium	3.9	14.4824190455189
E. faecium	4	13.0464738361456
E. faecium	4.1	11.7529039190381
E. faecium	4.2	10.5875926526175
E. faecium	4.3	9.53782307334084
E. faecium	4.4	8.59213911633285
E. faecium	4.5	7.74022059611955
E. faecium	4.6	6.9727705831378
E. faecium	4.7	6.28141394696769
E. faecium	4.8	5.65860595909704
E. faecium	4.9	5.09754995780623
E. faecium	5	4.59212317665547
B. subtilis	0	1649.06129724979
B. subtilis	0.1	1493.25173503134
B. subtilis	0.2	1352.16365085569
B. subtilis	0.3	1224.40610367482
B. subtilis	0.4	1108.71957382336
B. subtilis	0.5	1003.96354582819
B. subtilis	0.6	909.105264441283
B. subtilis	0.7	823.209553045157
B. subtilis	0.8	745.429594053986
B. subtilis	0.9	674.99858041736
B. subtilis	1	611.222155921615
B. subtilis	1.1	553.471569760146
B. subtilis	1.2	501.177477885872
B. subtilis	1.3	453.824330035409
B. subtilis	1.4	410.945287088475
B. subtilis	1.5	372.117618654453
B. subtilis	1.6	336.958535512414
B. subtilis	1.7	305.121415818003
B. subtilis	1.8	276.292387872611
B. subtilis	1.9	250.187235765459
B. subtilis	2	226.548597382355
B. subtilis	2.1	205.143427157198
B. subtilis	2.2	185.760698552347
B. subtilis	2.3	168.209323617342
B. subtilis	2.4	152.316269115615
B. subtilis	2.5	137.924850646676
B. subtilis	2.6	124.893187946118
B. subtilis	2.7	113.092806134717
B. subtilis	2.8	102.40736912683
B. subtilis	2.9	92.7315327111639
B. subtilis	3	83.9699059968209
B. subtilis	3.1	76.0361109858598
B. subtilis	3.2	68.851931001005
B. subtilis	3.3	62.3465395731344
B. subtilis	3.4	56.4558021864003
B. subtilis	3.5	51.1216439971172
B. subtilis	3.6	46.2914772929671
B. subtilis	3.7	41.9176830480281
B. subtilis	3.8	37.95714146245
B. subtilis	3.9	34.3708068585202
B. subtilis	4	31.1233227421612
B. subtilis	4.1	28.1826732348765
B. subtilis	4.2	25.519867439728
B. subtilis	4.3	23.1086536296116
B. subtilis	4.4	20.9252604401089
B. subtilis	4.5	18.9481625154181
B. subtilis	4.6	17.1578682969466
B. subtilis	4.7	15.5367278624414
B. subtilis	4.8	14.0687589212071
B. subtilis	4.9	12.7394892499547
B. subtilis	5	11.5358140159094
N. meningitidis	0	591.180542591574
N. meningitidis	0.1	544.999145858473
N. meningitidis	0.2	502.425312721546
N. meningitidis	0.3	463.177230242661
N. meningitidis	0.4	426.995099934707
N. meningitidis	0.5	393.639418053279
N. meningitidis	0.6	362.889390227237
N. meningitidis	0.7	334.541469933968
N. meningitidis	0.8	308.408011144935
N. meningitidis	0.9	284.316026222842
N. meningitidis	1	262.106040848464
N. meningitidis	1.1	241.631038397431
N. meningitidis	1.2	222.7554867794
N. meningitidis	1.3	205.354441297865
N. meningitidis	1.4	189.312717592095
N. meningitidis	1.5	174.52412918657
N. meningitidis	1.6	160.890784600951
N. meningitidis	1.7	148.322439367895
N. meningitidis	1.8	136.735898669443
N. meningitidis	1.9	126.054466637819
N. meningitidis	2	116.207438675327
N. meningitidis	2.1	107.129633432825
N. meningitidis	2.2	98.7609613487523
N. meningitidis	2.3	91.046026892697
N. meningitidis	2.4	83.933761880604
N. meningitidis	2.5	77.3770874343888
N. meningitidis	2.6	71.332602348336
N. meningitidis	2.7	65.7602957994567
N. meningitidis	2.8	60.6232825001221
N. meningitidis	2.9	55.8875585398442
N. meningitidis	3	51.521776300025
N. meningitidis	3.1	47.4970369517455
N. meningitidis	3.2	43.7866991630563
N. meningitidis	3.3	40.3662027495282
N. meningitidis	3.4	37.2129061007367
N. meningitidis	3.5	34.3059363065413
N. meningitidis	3.6	31.626050991088
N. meningitidis	3.7	29.1555109399589
N. meningitidis	3.8	26.8779626773384
